"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"02:00:00 PM",20.57
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"04:00:00 PM",21.09
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"06:00:00 PM",20.82
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"08:00:00 PM",21.06
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"10:00:00 PM",20.75
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"12:00:00 AM",20.69
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"02:00:00 AM",20.77
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"04:00:00 AM",20.7
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"06:00:00 AM",20.54
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"08:00:00 AM",20.58
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"10:00:00 AM",20.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"12:00:00 PM",20.62
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"02:00:00 PM",20.62
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"04:00:00 PM",20.62
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"06:00:00 PM",20.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"08:00:00 PM",20.57
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"10:00:00 PM",20.53
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"12:00:00 AM",20.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"02:00:00 AM",20.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"04:00:00 AM",20.43
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"06:00:00 AM",20.72
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"08:00:00 AM",20.84
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"10:00:00 AM",20.36
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"12:00:00 PM",20.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"02:00:00 PM",20.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"04:00:00 PM",20.55
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"06:00:00 PM",20.54
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"08:00:00 PM",21.36
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"10:00:00 PM",20.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"12:00:00 AM",20.39
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"02:00:00 AM",20.24
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"04:00:00 AM",20.24
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"06:00:00 AM",20.39
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"08:00:00 AM",21.02
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"10:00:00 AM",20.41
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"12:00:00 PM",20.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"02:00:00 PM",20.38
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,19,2022-08-19,"04:00:00 PM",20.49
