"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"12:00:00 AM",14.89
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"02:00:00 AM",15.32
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"04:00:00 AM",15.24
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"06:00:00 AM",15.78
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"08:00:00 AM",15.89
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"10:00:00 AM",15.96
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"12:00:00 PM",16.36
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"02:00:00 PM",16.48
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"04:00:00 PM",16.48
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"06:00:00 PM",16.21
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"08:00:00 PM",16.17
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"10:00:00 PM",16.05
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"12:00:00 AM",16.53
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"02:00:00 AM",16.55
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"04:00:00 AM",16.81
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"06:00:00 AM",16.5
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"08:00:00 AM",15.9
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"10:00:00 AM",15.21
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"12:00:00 PM",15.27
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"02:00:00 PM",15.19
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"04:00:00 PM",12.02
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,17,2022-08-17,"06:00:00 PM",10.37
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,18,2022-08-18,"08:00:00 PM",10.17
